symbol,timestamp,open,high,low,close,volume,vwap,trade_count
AAPL,2026-06-03T23:16:00Z,314.12,314.14,313.71,313.71,3863,313.994,63
AAPL,2026-06-03T23:17:00Z,313.99,314,313.99,314,271,313.995,19
AAPL,2026-06-03T23:18:00Z,313.83,313.96,313.81,313.96,531,313.886,29
AAPL,2026-06-03T23:19:00Z,313.81,314.07,313.81,314.07,462,313.977,19
AAPL,2026-06-03T23:20:00Z,314.14,314.16,314.11,314.11,420,314.135,29
AAPL,2026-06-03T23:21:00Z,314.06,314.22,314.05,314.06,1125,314.183,26
AAPL,2026-06-03T23:22:00Z,314.1,314.2,314.029,314.11,1969,314.102,36
AAPL,2026-06-03T23:23:00Z,314.11,314.21,314.11,314.2,1380,314.197,53
AAPL,2026-06-03T23:24:00Z,314.2,314.2,314,314.1,546,314.131,42
AAPL,2026-06-03T23:25:00Z,314.19,314.25,314,314.2,1488,314.206,59
AAPL,2026-06-03T23:26:00Z,314.25,314.25,314.16,314.25,790,314.221,35
AAPL,2026-06-03T23:27:00Z,314.25,314.25,314.2,314.24,621,314.217,41
AAPL,2026-06-03T23:28:00Z,314.2,314.25,314.2,314.25,1270,314.242,56
AAPL,2026-06-03T23:29:00Z,314.22,314.25,314.2,314.25,717,314.221,22
AAPL,2026-06-03T23:30:00Z,314.24,314.4,314.033,314.033,2322,314.23,71
AAPL,2026-06-03T23:31:00Z,314.25,314.25,313.91,314.25,7590,314.029,152
AAPL,2026-06-03T23:32:00Z,314.15,314.46,314.15,314.36,1482,314.352,193
AAPL,2026-06-03T23:33:00Z,314.163,314.45,313.91,313.91,1060,314.23,39
AAPL,2026-06-03T23:34:00Z,314.04,314.06,313.91,314.06,1791,314.011,93
AAPL,2026-06-03T23:35:00Z,314.08,314.12,313.86,314,1356,314.05,42
AAPL,2026-06-03T23:36:00Z,314,314.13,313.72,313.72,1106,313.833,54
AAPL,2026-06-03T23:37:00Z,313.85,313.9,313.77,313.77,1124,313.854,30
AAPL,2026-06-03T23:38:00Z,313.9,313.9,313.76,313.76,880,313.83,34
AAPL,2026-06-03T23:39:00Z,313.75,313.9,313.71,313.875,1468,313.839,52
AAPL,2026-06-03T23:40:00Z,313.9,314.12,313.9,314.1,1627,313.97,71
AAPL,2026-06-03T23:41:00Z,314,314.1,314,314.1,6011,314.005,82
AAPL,2026-06-03T23:42:00Z,314.1,314.1,313.82,313.82,466,314.032,22
AAPL,2026-06-03T23:43:00Z,313.81,314.01,313.71,313.85,1515,313.84,35
AAPL,2026-06-03T23:44:00Z,313.95,314,313.86,313.86,1237,313.969,36
AAPL,2026-06-03T23:45:00Z,313.98,314.01,313.89,313.91,5371,313.937,150
AAPL,2026-06-03T23:46:00Z,313.82,313.88,313.82,313.88,879,313.837,58
AAPL,2026-06-03T23:47:00Z,313.82,313.88,313.804,313.804,992,313.842,30
AAPL,2026-06-03T23:48:00Z,313.88,313.88,313.8,313.8,1224,313.828,43
AAPL,2026-06-03T23:49:00Z,313.85,313.93,313.85,313.89,646,313.889,40
AAPL,2026-06-03T23:50:00Z,313.8,314.01,313.8,314,2399,313.991,81
AAPL,2026-06-03T23:51:00Z,313.93,313.93,313.85,313.85,1401,313.855,30
AAPL,2026-06-03T23:52:00Z,313.83,313.83,313.785,313.81,769,313.806,41
AAPL,2026-06-03T23:53:00Z,313.81,313.92,313.81,313.92,1710,313.903,71
AAPL,2026-06-03T23:54:00Z,313.99,314,313.967,313.99,2028,313.983,69
AAPL,2026-06-03T23:55:00Z,313.99,314.01,313.91,313.95,802,313.93,65
AAPL,2026-06-03T23:56:00Z,313.9,313.92,313.84,313.88,883,313.889,27
AAPL,2026-06-03T23:57:00Z,313.81,313.86,313.76,313.8,1782,313.801,29
AAPL,2026-06-03T23:58:00Z,313.86,313.9,313.86,313.9,1033,313.871,38
AAPL,2026-06-03T23:59:00Z,313.95,313.95,313.95,313.95,312,313.95,22
AAPL,2026-06-04T08:00:00Z,312.67,313.7,312.289,312.49,15340,312.806,623
AAPL,2026-06-04T08:01:00Z,312.64,313.77,312.64,313.76,7002,313.641,495
AAPL,2026-06-04T08:02:00Z,313.65,313.75,312.36,313.19,18107,313.186,975
AAPL,2026-06-04T08:03:00Z,312.96,313.27,312.14,312.52,10345,312.59,396
AAPL,2026-06-04T08:04:00Z,312.67,312.92,312.67,312.8,1943,312.753,74
AAPL,2026-06-04T08:05:00Z,312.86,312.97,312.78,312.78,1696,312.942,40
AAPL,2026-06-04T08:06:00Z,312.76,312.76,312.62,312.62,900,312.705,37
AAPL,2026-06-04T08:07:00Z,312.67,312.67,312.55,312.55,1154,312.59,43
AAPL,2026-06-04T08:08:00Z,312.76,312.77,312.54,312.54,1732,312.599,53
AAPL,2026-06-04T08:09:00Z,312.55,312.6,312.55,312.6,1435,312.568,124
AAPL,2026-06-04T08:10:00Z,312.74,312.75,312.55,312.65,401,312.695,17
AAPL,2026-06-04T08:11:00Z,312.57,312.68,312.56,312.57,824,312.581,30
AAPL,2026-06-04T08:12:00Z,312.72,312.72,312.58,312.67,660,312.649,52
AAPL,2026-06-04T08:13:00Z,312.56,312.57,312.5,312.51,964,312.549,43
AAPL,2026-06-04T08:14:00Z,312.52,312.52,312.3,312.33,3291,312.393,67
AAPL,2026-06-04T08:15:00Z,312.45,312.47,312.3,312.3,923,312.366,28
AAPL,2026-06-04T08:16:00Z,312.31,312.33,312.22,312.22,1651,312.299,42
AAPL,2026-06-04T08:17:00Z,312.21,312.22,312.05,312.05,990,312.158,28
AAPL,2026-06-04T08:18:00Z,312.11,312.16,312.07,312.11,533,312.111,17
AAPL,2026-06-04T08:19:00Z,312.1,312.11,312.05,312.05,3089,312.085,30
AAPL,2026-06-04T08:20:00Z,312.28,312.28,312.08,312.12,556,312.148,31
AAPL,2026-06-04T08:21:00Z,312.425,312.425,312.05,312.05,1135,312.259,27
AAPL,2026-06-04T08:22:00Z,312.36,312.36,312.09,312.09,874,312.166,38
AAPL,2026-06-04T08:23:00Z,312.29,312.29,312.12,312.25,852,312.239,43
AAPL,2026-06-04T08:24:00Z,312.24,312.29,312.05,312.26,2698,312.16,80
AAPL,2026-06-04T08:25:00Z,312.38,312.38,312.05,312.16,1524,312.164,40
AAPL,2026-06-04T08:26:00Z,312.01,312.26,312,312.26,1249,312.067,46
AAPL,2026-06-04T08:27:00Z,312.28,312.34,312.22,312.34,1309,312.289,52
AAPL,2026-06-04T08:28:00Z,312.48,312.5,312.48,312.5,1127,312.488,66
AAPL,2026-06-04T08:29:00Z,312.64,312.73,312.64,312.73,831,312.687,43
AAPL,2026-06-04T08:30:00Z,312.79,312.92,312.77,312.92,567,312.818,36
AAPL,2026-06-04T08:31:00Z,312.71,312.71,312.54,312.54,499,312.609,25
AAPL,2026-06-04T08:32:00Z,312.55,312.867,312.55,312.867,168,312.663,7
AAPL,2026-06-04T08:35:00Z,312.74,312.74,312.74,312.74,172,312.74,15
AAPL,2026-06-04T08:36:00Z,312.74,312.75,312.74,312.75,430,312.745,28
AAPL,2026-06-04T08:37:00Z,312.77,312.862,312.54,312.54,1021,312.646,32
AAPL,2026-06-04T08:38:00Z,312.67,312.74,312.67,312.74,303,312.705,5
AAPL,2026-06-04T08:41:00Z,312.6,312.6,312.5,312.5,342,312.536,21
AAPL,2026-06-04T08:42:00Z,312.5,312.5,312.48,312.48,301,312.493,21
AAPL,2026-06-04T08:43:00Z,312.48,312.48,312.48,312.48,756,312.48,25
AAPL,2026-06-04T08:45:00Z,312.57,312.59,312.57,312.59,225,312.58,11
AAPL,2026-06-04T08:48:00Z,312.48,312.48,312.48,312.48,115,312.48,11
AAPL,2026-06-04T08:49:00Z,312.35,312.35,312.12,312.22,1082,312.262,32
